Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,Sep 16 - Sep 28,09/28/2020,23.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,Washington,Sep 16 - Sep 28,09/28/2020,24.5
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 16 - Sep 28,09/28/2020,26.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 16 - Sep 28,09/28/2020,19.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 16 - Sep 28,09/28/2020,20.7
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,Sep 30 - Oct 12,10/12/2020,32.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,Sep 30 - Oct 12,10/12/2020,34.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,Sep 30 - Oct 12,10/12/2020,33.5
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,Sep 30 - Oct 12,10/12/2020,33
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,Sep 30 - Oct 12,10/12/2020,28.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,Sep 30 - Oct 12,10/12/2020,25.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,Sep 30 - Oct 12,10/12/2020,19.1
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,Sep 30 - Oct 12,10/12/2020,28.4
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,Sep 30 - Oct 12,10/12/2020,36.2
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,Sep 30 - Oct 12,10/12/2020,30.9
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,Sep 30 - Oct 12,10/12/2020,29.5
"Delayed Medical Care, Last 4 Weeks",By State,California,California,Sep 30 - Oct 12,10/12/2020,36
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,Sep 30 - Oct 12,10/12/2020,30.1
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,Sep 30 - Oct 12,10/12/2020,30.1
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,Sep 30 - Oct 12,10/12/2020,27.9
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,Sep 30 - Oct 12,10/12/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,Sep 30 - Oct 12,10/12/2020,33.8
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,Sep 30 - Oct 12,10/12/2020,30.7
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,Sep 30 - Oct 12,10/12/2020,30.4
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,Sep 30 - Oct 12,10/12/2020,26.5
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,Sep 30 - Oct 12,10/12/2020,30
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,Sep 30 - Oct 12,10/12/2020,27
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,Sep 30 - Oct 12,10/12/2020,29
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,Sep 30 - Oct 12,10/12/2020,27.6
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,Sep 30 - Oct 12,10/12/2020,27.7
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,Sep 30 - Oct 12,10/12/2020,26.6
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,Sep 30 - Oct 12,10/12/2020,32.9
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,Sep 30 - Oct 12,10/12/2020,32.7
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,Sep 30 - Oct 12,10/12/2020,35.5
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,Sep 30 - Oct 12,10/12/2020,31.3
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,Sep 30 - Oct 12,10/12/2020,28.8
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,Sep 30 - Oct 12,10/12/2020,30.3
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,Sep 30 - Oct 12,10/12/2020,27.8
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,Sep 30 - Oct 12,10/12/2020,31.2
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,Sep 30 - Oct 12,10/12/2020,26.4
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,Sep 30 - Oct 12,10/12/2020,31.4
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,Sep 30 - Oct 12,10/12/2020,29.3
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,Sep 30 - Oct 12,10/12/2020,31.9
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,Sep 30 - Oct 12,10/12/2020,33.1
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,Sep 30 - Oct 12,10/12/2020,29.9
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,Sep 30 - Oct 12,10/12/2020,31.2
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,Sep 30 - Oct 12,10/12/2020,27.3
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,Sep 30 - Oct 12,10/12/2020,31.2
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,Sep 30 - Oct 12,10/12/2020,29.3
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,Sep 30 - Oct 12,10/12/2020,33.2
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Sep 30 - Oct 12,10/12/2020,29.3
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,Sep 30 - Oct 12,10/12/2020,28.3
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,Sep 30 - Oct 12,10/12/2020,30.3
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,Sep 30 - Oct 12,10/12/2020,23.3
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,Sep 30 - Oct 12,10/12/2020,28.6
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,Sep 30 - Oct 12,10/12/2020,31.4
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,Sep 30 - Oct 12,10/12/2020,27.7
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,Sep 30 - Oct 12,10/12/2020,35.8
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,Sep 30 - Oct 12,10/12/2020,33
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,Sep 30 - Oct 12,10/12/2020,35.8
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 30 - Oct 12,10/12/2020,32.3
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 30 - Oct 12,10/12/2020,25.2
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 30 - Oct 12,10/12/2020,21.6
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,Sep 30 - Oct 12,10/12/2020,22.6
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,Sep 30 - Oct 12,10/12/2020,24.8
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,Sep 30 - Oct 12,10/12/2020,26.3
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,Sep 30 - Oct 12,10/12/2020,25.4
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,Sep 30 - Oct 12,10/12/2020,22
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,Sep 30 - Oct 12,10/12/2020,18.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,Sep 30 - Oct 12,10/12/2020,17.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,Sep 30 - Oct 12,10/12/2020,24.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,Sep 30 - Oct 12,10/12/2020,29.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,Sep 30 - Oct 12,10/12/2020,25
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,Sep 30 - Oct 12,10/12/2020,24
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,Sep 30 - Oct 12,10/12/2020,29.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,Sep 30 - Oct 12,10/12/2020,21.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,Sep 30 - Oct 12,10/12/2020,20.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,Sep 30 - Oct 12,10/12/2020,19.9
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,Sep 30 - Oct 12,10/12/2020,23.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,Sep 30 - Oct 12,10/12/2020,24.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,Sep 30 - Oct 12,10/12/2020,21.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,Sep 30 - Oct 12,10/12/2020,25.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,Sep 30 - Oct 12,10/12/2020,18.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,Sep 30 - Oct 12,10/12/2020,21
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,Sep 30 - Oct 12,10/12/2020,20.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,Sep 30 - Oct 12,10/12/2020,21.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,Sep 30 - Oct 12,10/12/2020,20.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,Sep 30 - Oct 12,10/12/2020,23.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,Sep 30 - Oct 12,10/12/2020,21.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,Sep 30 - Oct 12,10/12/2020,23.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,Sep 30 - Oct 12,10/12/2020,23.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,Sep 30 - Oct 12,10/12/2020,23.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,Sep 30 - Oct 12,10/12/2020,22.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,Sep 30 - Oct 12,10/12/2020,18.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,Sep 30 - Oct 12,10/12/2020,23.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,Sep 30 - Oct 12,10/12/2020,20.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,Sep 30 - Oct 12,10/12/2020,19.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,Sep 30 - Oct 12,10/12/2020,17.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,Sep 30 - Oct 12,10/12/2020,25.4
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,Sep 30 - Oct 12,10/12/2020,20.6
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,Sep 30 - Oct 12,10/12/2020,20.7
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,Sep 30 - Oct 12,10/12/2020,28.3
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,Sep 30 - Oct 12,10/12/2020,22
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,Sep 30 - Oct 12,10/12/2020,23.5
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,Sep 30 - Oct 12,10/12/2020,21.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,Sep 30 - Oct 12,10/12/2020,21.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,Sep 30 - Oct 12,10/12/2020,25.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,Sep 30 - Oct 12,10/12/2020,25.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Sep 30 - Oct 12,10/12/2020,20.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,Sep 30 - Oct 12,10/12/2020,21.3
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,South Carolina,Sep 30 - Oct 12,10/12/2020,24.3
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,South Dakota,Sep 30 - Oct 12,10/12/2020,17.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,Tennessee,Sep 30 - Oct 12,10/12/2020,22.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,Texas,Sep 30 - Oct 12,10/12/2020,25.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,Utah,Sep 30 - Oct 12,10/12/2020,21
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,Vermont,Sep 30 - Oct 12,10/12/2020,28.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,Sep 30 - Oct 12,10/12/2020,23.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,Washington,Sep 30 - Oct 12,10/12/2020,24.6
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,West Virginia,Sep 30 - Oct 12,10/12/2020,22.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,Sep 30 - Oct 12,10/12/2020,19.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,Wyoming,Sep 30 - Oct 12,10/12/2020,19
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,Oct 14 - Oct 26,10/26/2020,32.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,Oct 14 - Oct 26,10/26/2020,34.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,Oct 14 - Oct 26,10/26/2020,34.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,Oct 14 - Oct 26,10/26/2020,33.7
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,Oct 14 - Oct 26,10/26/2020,28.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,Oct 14 - Oct 26,10/26/2020,23.2
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,Oct 14 - Oct 26,10/26/2020,16.2
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,Oct 14 - Oct 26,10/26/2020,29.2
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,Oct 14 - Oct 26,10/26/2020,35
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,Oct 14 - Oct 26,10/26/2020,34.9
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,Oct 14 - Oct 26,10/26/2020,30.9
"Delayed Medical Care, Last 4 Weeks",By State,California,California,Oct 14 - Oct 26,10/26/2020,34.6
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,Oct 14 - Oct 26,10/26/2020,32.2
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,Oct 14 - Oct 26,10/26/2020,32.4
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,Oct 14 - Oct 26,10/26/2020,32.8
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,Oct 14 - Oct 26,10/26/2020,39.9
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,Oct 14 - Oct 26,10/26/2020,29.5
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,Oct 14 - Oct 26,10/26/2020,30.3
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,Oct 14 - Oct 26,10/26/2020,34.8
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,Oct 14 - Oct 26,10/26/2020,26.4
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,Oct 14 - Oct 26,10/26/2020,29.4
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,Oct 14 - Oct 26,10/26/2020,27.2
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,Oct 14 - Oct 26,10/26/2020,23.1
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,Oct 14 - Oct 26,10/26/2020,31.2
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,Oct 14 - Oct 26,10/26/2020,30.1
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,Oct 14 - Oct 26,10/26/2020,29.5
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,Oct 14 - Oct 26,10/26/2020,34.9
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,Oct 14 - Oct 26,10/26/2020,36
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,Oct 14 - Oct 26,10/26/2020,35
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,Oct 14 - Oct 26,10/26/2020,32.1
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,Oct 14 - Oct 26,10/26/2020,30.6
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,Oct 14 - Oct 26,10/26/2020,25.1
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,Oct 14 - Oct 26,10/26/2020,30.8
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,Oct 14 - Oct 26,10/26/2020,27.5
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,Oct 14 - Oct 26,10/26/2020,26.3
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,Oct 14 - Oct 26,10/26/2020,33.2
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,Oct 14 - Oct 26,10/26/2020,24.7
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,Oct 14 - Oct 26,10/26/2020,29
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,Oct 14 - Oct 26,10/26/2020,38.9
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,Oct 14 - Oct 26,10/26/2020,29.2
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,Oct 14 - Oct 26,10/26/2020,22.9
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,Oct 14 - Oct 26,10/26/2020,25.2
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,Oct 14 - Oct 26,10/26/2020,27.6
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,Oct 14 - Oct 26,10/26/2020,27.8
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,Oct 14 - Oct 26,10/26/2020,35.4
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Oct 14 - Oct 26,10/26/2020,28.9
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,Oct 14 - Oct 26,10/26/2020,31.3
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,Oct 14 - Oct 26,10/26/2020,30.5
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,Oct 14 - Oct 26,10/26/2020,26.2
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,Oct 14 - Oct 26,10/26/2020,28.6
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,Oct 14 - Oct 26,10/26/2020,37.4
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,Oct 14 - Oct 26,10/26/2020,25.7
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,Oct 14 - Oct 26,10/26/2020,31.4
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,Oct 14 - Oct 26,10/26/2020,31.6
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,Oct 14 - Oct 26,10/26/2020,34.5
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,Oct 14 - Oct 26,10/26/2020,32.6
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,Oct 14 - Oct 26,10/26/2020,27.4
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,Oct 14 - Oct 26,10/26/2020,29.4
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,Oct 14 - Oct 26,10/26/2020,22.3
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,Oct 14 - Oct 26,10/26/2020,25.8
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,Oct 14 - Oct 26,10/26/2020,25
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,Oct 14 - Oct 26,10/26/2020,27
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,Oct 14 - Oct 26,10/26/2020,21.8
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,Oct 14 - Oct 26,10/26/2020,17.7
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,Oct 14 - Oct 26,10/26/2020,16.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,Oct 14 - Oct 26,10/26/2020,24.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,Oct 14 - Oct 26,10/26/2020,25.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,Oct 14 - Oct 26,10/26/2020,25.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,Oct 14 - Oct 26,10/26/2020,24.8
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,Oct 14 - Oct 26,10/26/2020,26.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,Oct 14 - Oct 26,10/26/2020,22.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,Oct 14 - Oct 26,10/26/2020,20.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,Oct 14 - Oct 26,10/26/2020,24.7
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,Oct 14 - Oct 26,10/26/2020,24.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,Oct 14 - Oct 26,10/26/2020,23.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,Oct 14 - Oct 26,10/26/2020,22.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,Oct 14 - Oct 26,10/26/2020,21.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,Oct 14 - Oct 26,10/26/2020,19
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,Oct 14 - Oct 26,10/26/2020,24.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,Oct 14 - Oct 26,10/26/2020,20.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,Oct 14 - Oct 26,10/26/2020,16.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,Oct 14 - Oct 26,10/26/2020,23.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,Oct 14 - Oct 26,10/26/2020,23.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,Oct 14 - Oct 26,10/26/2020,22.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,Oct 14 - Oct 26,10/26/2020,23.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,Oct 14 - Oct 26,10/26/2020,28.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,Oct 14 - Oct 26,10/26/2020,24.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,Oct 14 - Oct 26,10/26/2020,24.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,Oct 14 - Oct 26,10/26/2020,20.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,Oct 14 - Oct 26,10/26/2020,22.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,Oct 14 - Oct 26,10/26/2020,20.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,Oct 14 - Oct 26,10/26/2020,19.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,Oct 14 - Oct 26,10/26/2020,18.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,Oct 14 - Oct 26,10/26/2020,27.2
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,Oct 14 - Oct 26,10/26/2020,19.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,Oct 14 - Oct 26,10/26/2020,20.2
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,Oct 14 - Oct 26,10/26/2020,33.6
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,Oct 14 - Oct 26,10/26/2020,24.8
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,Oct 14 - Oct 26,10/26/2020,18.4
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,Oct 14 - Oct 26,10/26/2020,18
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,Oct 14 - Oct 26,10/26/2020,23.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,Oct 14 - Oct 26,10/26/2020,22.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,Oct 14 - Oct 26,10/26/2020,25.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Oct 14 - Oct 26,10/26/2020,19.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,Oct 14 - Oct 26,10/26/2020,22.4
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,South Carolina,Oct 14 - Oct 26,10/26/2020,25.4
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,South Dakota,Oct 14 - Oct 26,10/26/2020,19.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,Tennessee,Oct 14 - Oct 26,10/26/2020,20.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,Texas,Oct 14 - Oct 26,10/26/2020,26.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,Utah,Oct 14 - Oct 26,10/26/2020,20.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,Vermont,Oct 14 - Oct 26,10/26/2020,23.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,Oct 14 - Oct 26,10/26/2020,21.6
