Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,May 7 - May 12,05/12/2020,43.2
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,May 7 - May 12,05/12/2020,43.2
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,May 7 - May 12,05/12/2020,42.1
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,May 7 - May 12,05/12/2020,38
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,May 7 - May 12,05/12/2020,44.8
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,May 7 - May 12,05/12/2020,37.3
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,May 7 - May 12,05/12/2020,36.3
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,May 7 - May 12,05/12/2020,45.3
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,May 7 - May 12,05/12/2020,47.3
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,May 7 - May 12,05/12/2020,44.9
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,May 7 - May 12,05/12/2020,42.3
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,May 7 - May 12,05/12/2020,40.4
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,May 7 - May 12,05/12/2020,42.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,May 7 - May 12,05/12/2020,31.7
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,May 7 - May 12,05/12/2020,32.4
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,May 7 - May 12,05/12/2020,36.6
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,May 7 - May 12,05/12/2020,37.5
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,May 7 - May 12,05/12/2020,31
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,May 7 - May 12,05/12/2020,29.6
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,May 7 - May 12,05/12/2020,32.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,May 7 - May 12,05/12/2020,33.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,May 7 - May 12,05/12/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,May 7 - May 12,05/12/2020,39.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,May 7 - May 12,05/12/2020,30.4
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,May 7 - May 12,05/12/2020,32.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,May 7 - May 12,05/12/2020,36
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,May 7 - May 12,05/12/2020,35.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,May 7 - May 12,05/12/2020,31.4
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,May 7 - May 12,05/12/2020,26.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,May 7 - May 12,05/12/2020,33.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,May 7 - May 12,05/12/2020,40.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,May 7 - May 12,05/12/2020,32.3
